,Group,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,"SampleName"
"LUAD(T=513,N=397)",Tumor,15.6404,5.1299,3589.0831,138.1306,69.3478,47.3,66.6983,169.2711,78.9398,0,9.3201,3.8601,0.73,44.9911,5.6798,48.0202,1.77,"TCGA-05-4420-01"
"LUAD(T=513,N=397)",Tumor,5.63,7.3498,8627.3384,551.3778,157.8916,33.4204,68.1707,278.7436,255.6266,0,14.9099,1.79,2.4099,42.7089,10.9501,78.9015,10.26,"TCGA-91-6840-01"
"LUAD(T=513,N=397)",Tumor,41.92,23.8404,13259.1428,912.5744,142.083,87.7717,286.9976,336.671,2131.5679,0,24.5396,25.4297,7.3702,64.2791,67.4702,643.456,25.24,"TCGA-44-6778-01"
"LUAD(T=513,N=397)",Tumor,10.9304,5.5398,7066.5964,574.1554,41.0914,57.2885,97.4024,98.858,499.8658,0,25.5092,12.0702,22.6201,122.904,11.54,296.1522,26.23,"TCGA-67-3774-01"
"LUAD(T=513,N=397)",Tumor,18.6606,2.7999,6997.8683,391.5075,66.6613,38.8505,143.6775,273.879,158.9237,0,27.4807,2.63,0.87,51.5383,4.69,183.0751,2.91,"TCGA-64-1679-01"
"LUAD(T=513,N=397)",Tumor,12.6704,3.6,13392.1493,614.7677,93.85,37.1802,101.2505,182.4291,292.5816,0,27.9204,2.21,2.18,40.3603,11.2097,52.2107,10.7202,"TCGA-55-6982-01"
"LUAD(T=513,N=397)",Tumor,23.6692,7.13,6975.5913,297.1392,65.0816,29.8602,223.1227,91.1572,1721.5581,2.29,22.92,1.56,0.33,31.8198,2.7199,169.6704,9.0602,"TCGA-NJ-A4YI-01"
"LUAD(T=513,N=397)",Tumor,5.3801,3.07,3308.8165,107.0237,79.4889,17.5405,98.3113,74.5419,64.3103,0,14.5697,2.8701,0.19,52.1311,1.94,50.6283,5.1001,"TCGA-MN-A4N1-01"
"LUAD(T=513,N=397)",Tumor,6.6598,9.1099,3773.7931,512.2475,98.9677,25.0605,122.7593,138.8602,194.7248,0,22.5904,19.7602,2,51.3208,9.5298,305.6836,11.0102,"TCGA-55-A4DG-01"
"LUAD(T=513,N=397)",Tumor,17.8496,9.2698,15418.7683,179.4691,40.7087,23.8008,540.3301,83.5509,64.9779,8.4798,20.4699,60.3205,3.59,128.0611,8.0401,1522.8932,41.6795,"TCGA-L9-A5IP-01"
