CODE,Group,METTL3,METTL14,METTL16,WTAP,KIAA1429,ZC3H13,CBLL1,RBM15,RBM15B,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,HNRNPC,RBMX,FMR1,HNRNPA2B1,IGFBP1,IGFBP2,IGFBP3,PRRC2A,FTO,ALKBH5,"SampleName"
"GBM(T=153,N=1157)",Tumor,20.4699,10.1898,15.6697,95.5633,27.1099,11.8604,20.6394,4.0299,17.56,32.8599,4.4201,29.9203,51.0512,15.5896,524.1359,176.2271,51.6599,638.3915,1.38,66.4814,12.2099,116.0327,28.181,49.7309,"TCGA-19-1787-01"
"GBM(T=153,N=1157)",Tumor,23.9498,8.3601,7.6998,119.8169,20.9798,5.91,10.6602,1.53,9.9801,21.7393,4.6101,33.2402,38.1196,17.6405,426.7054,97.6931,13.1,481.2681,8.9398,1308.1379,600.0744,59.198,34.5511,41.2798,"TCGA-06-5412-01"
"GBM(T=153,N=1157)",Tumor,23.4195,6.7001,14.9203,101.1523,40.151,9.7503,8.5098,2.6899,11.83,35.8788,4.9499,46.4391,41.2398,11.8103,398.876,102.3088,20.9,562.6904,2,100.2033,9.84,174.0541,49.4593,38.6196,"TCGA-16-0846-01"
"GBM(T=153,N=1157)",Tumor,32.651,9.2397,12.8999,67.2088,27.9805,9.4699,21.3495,2.01,14.1399,29.8892,3.11,37.9693,44.111,21.2698,706.036,137.2621,13.7303,540.1055,1.67,1544.045,478.1757,79.2578,45.1004,52.1709,"TCGA-12-5299-01"
"GBM(T=153,N=1157)",Tumor,21.78,11.3701,10.7299,57.6111,24.9894,14.6904,15.6904,2.11,12.0001,29.7095,11.2003,32.9306,38.3901,20.9203,336.9512,91.8294,21.0206,584.1105,1.91,307.6178,36.7293,63.7908,61.3919,32.7394,"TCGA-06-2561-01"
"GBM(T=153,N=1157)",Tumor,11.8604,5.2,8.4399,176.9125,22.5497,6.9302,9.2199,1.3,6.6598,16.9394,3.56,24.0896,28.819,20.0097,306.7661,58.1286,13.3003,212.2459,1.34,100.4397,78.1504,66.1183,35.4511,39.5598,"TCGA-06-0132-01"
"GBM(T=153,N=1157)",Tumor,41.59,12.1803,32.529,97.3214,64.4308,12.6502,16.4899,4.22,15.5701,38.5902,7.0699,39.2403,45.0598,16.3896,815.5323,146.7168,32.019,1113.8959,0.25,255.733,78.8797,209.3094,36.6912,59.35,"TCGA-26-5136-01"
"GBM(T=153,N=1157)",Tumor,31.8706,10.6403,14.67,117.6525,31.541,7.4602,14.42,1.79,21.7303,31.679,3.5801,56.2887,45.2193,16.4101,585.2453,183.7999,17.4798,378.7485,1.39,595.0213,32.4097,97.7609,43.4404,45.9206,"TCGA-27-2521-01"
"GBM(T=153,N=1157)",Tumor,17.4495,11.6704,11.7304,101.2716,35.5989,13.9201,14.6102,2.16,23.8008,34.3195,6.3299,41.1513,51.1007,17.4895,522.6485,167.6596,20.7801,562.1056,2.01,48.0802,56.6488,187.376,94.1497,74.9409,"TCGA-19-2629-01"
"GBM(T=153,N=1157)",Tumor,33.3094,5.4299,8.2897,79.0713,26.9207,6.4401,9.4502,1.51,8.4998,22.57,3.3,23.5204,33.7697,16.0401,569.7548,148.0551,15.1202,507.0546,1.71,232.0825,30.6806,76.6801,33.1596,28.2103,"TCGA-06-0238-01"
"GBM(T=153,N=1157)",Tumor,21.7107,4.84,18.4203,85.6679,34.151,5.7301,7.6101,1.23,8.8399,22.0703,3.22,24.8995,23.1195,10.2302,309.5429,87.4195,11.9404,436.5783,2.7299,82.6981,33.4807,160.2067,27.9204,53.1601,"TCGA-06-0749-01"
"GBM(T=153,N=1157)",Tumor,35.8912,9.7801,11.63,98.2909,34.671,13.2598,27.9999,3.8799,20.2694,36.2211,5.34,39.0801,56.5586,27.6393,702.5212,227.7479,19.6305,775.5082,2.7,1807.0231,268.1682,111.6227,69.9416,55.031,"TCGA-06-0174-01"
"GBM(T=153,N=1157)",Tumor,30.6402,10.4097,11.7003,203.8117,23.0699,10.9904,18.5201,2.7,12.7904,35.72,6.7701,90.377,41.0686,24.8305,582.2107,150.1531,17.4399,697.3301,3.84,471.5925,320.859,93.0597,56.8416,39.8405,"TCGA-06-5414-01"
"GBM(T=153,N=1157)",Tumor,26.7292,13.5601,34.7408,136.7398,29.4103,15.5798,23.4601,2.67,23.2997,47.0091,8.8897,36.5288,52.16,21.6896,511.5378,210.4441,28.4992,755.872,18.2905,231.777,340.52,106.8088,93.889,58.8094,"TCGA-28-5207-01"
"GBM(T=153,N=1157)",Tumor,19.6006,8.1597,6.99,150.8416,19.5802,8.76,8.0697,1.52,9.2698,18.3896,4.3701,23.3903,31.2905,15.31,457.9343,70.131,9.2301,374.0523,3.2699,522.5398,291.5087,41.3113,21.2904,45.9588,"TCGA-06-5410-01"
"GBM(T=153,N=1157)",Tumor,63.4689,8.8002,17.8298,90.4083,28.1595,11.7304,14.2096,2.09,15.8896,41.9112,9.0602,69.7915,39.3111,19.6905,520.9486,149.3538,16.5598,788.6811,1.11,598.9939,173.9214,174.7552,62.4607,39.6394,"TCGA-06-0747-01"
"GBM(T=153,N=1157)",Tumor,10.8098,8.6598,7.23,261.5593,21.6596,9.6401,11.9902,1.71,12.0101,20.1796,4.69,69.9513,30.6508,18.2297,353.042,96.0081,11.0201,387.0017,6.3602,575.989,569.5574,65.498,49.3805,58.0883,"TCGA-28-2513-01"
"GBM(T=153,N=1157)",Tumor,29.9701,10.6802,17.2403,96.4617,34.5606,13.2902,18.1503,2.5699,20.8003,30.8704,4.41,41.4404,45.4802,19.4598,614.4695,143.7871,16.6704,799.1365,1,1157.2612,187.0645,116.6213,50.1185,51.9183,"TCGA-76-4927-01"
"GBM(T=153,N=1157)",Tumor,29.4001,7.6301,7.8801,286.4809,23.5595,7.8998,15.4304,2.05,13.1902,25.6208,5.5799,54.1381,36.3797,17.5904,473.8534,108.0299,11.8604,525.4091,2.21,559.6176,275.6311,100.6278,34.2791,40.6805,"TCGA-06-0645-01"
"GBM(T=153,N=1157)",Tumor,80.0307,15.2095,15.5496,136.0402,25.2208,20.4798,17.8002,3.15,19.8,57.2013,15.9403,53.3299,29.1707,34.4005,636.5799,233.0174,31.8794,832.8416,0.74,979.7695,137.0624,134.4932,80.5986,54.311,"TCGA-06-2565-01"
"GBM(T=153,N=1157)",Tumor,26.6497,10.2103,8.7801,85.4011,38.2812,7.7201,18.8596,2.81,14.26,28.1907,9.4299,33.4111,52.0084,22.7996,414.0888,131.6888,20.1293,632.3142,0.25,275.1348,337.442,77.3474,40.4387,53.8388,"TCGA-06-0130-01"
"GBM(T=153,N=1157)",Tumor,23.8504,5.8501,20.1796,83.0082,36.2011,6.08,7.8203,1.43,11.7003,16.9195,4.4799,31.6,32.2998,12.0101,281.3642,78.1125,9.8297,466.3912,0.83,964.2066,326.2639,164.6651,37.1209,51.7889,"TCGA-06-0750-01"
"GBM(T=153,N=1157)",Tumor,24.8908,1.68,11.9503,100.5302,24.9894,5.08,5.7301,1.32,2.82,11.7997,3.45,18.68,31.5191,23.1596,569.7154,92.8986,17.6295,195.2519,1.55,486.5004,66.5782,30.969,9.9297,15.8698,"TCGA-27-1831-01"
"GBM(T=153,N=1157)",Tumor,24.4107,9.1701,10.7002,74.5213,52.16,6.02,13.3003,4.7899,15.8797,26.7107,10.6698,27.4103,46.9701,17.5004,553.1003,170.2949,16.6704,595.5165,0.5,675.0721,68.8402,68.3315,35.839,46.1311,"TCGA-06-5416-01"
"GBM(T=153,N=1157)",Tumor,23.1195,5.8802,10.4698,110.2311,28.3298,5.04,7.3702,1.3,7.5001,17.3699,7.13,25.5392,29.6601,15.7198,243.8743,65.78,12.2303,367.0915,1.43,342.034,214.2562,49.3292,27.6508,35.52,"TCGA-06-0141-01"
"GBM(T=153,N=1157)",Tumor,63.28,10.8001,16.53,139.6614,34.5798,15.6904,24.3296,2.9699,22.7901,41.3686,12.1399,63.8395,52.2795,27.7891,528.4039,185.3094,22.7601,979.1584,2.15,720.3219,311.7823,158.2861,82.492,60.8707,"TCGA-06-0125-01"
"GBM(T=153,N=1157)",Tumor,54.2997,13.5996,10.4097,90.0269,41.6102,17.0596,21.6296,3.7699,26.4601,41.6102,6.1499,55.7915,53.8686,22.6892,778.3624,172.1344,22.2794,1012.7754,0.23,3742.5338,238.5245,94.9822,51.1397,63.0479,"TCGA-76-4925-01"
"GBM(T=153,N=1157)",Tumor,37.3999,7.3102,15.3302,127.5296,33.4297,11.9404,14.5596,3.3701,18.3998,35.8291,4.3898,39.8295,26.5501,20.0597,832.4953,148.7133,15.5001,810.2359,3.5801,1450.0621,121.2876,119.2535,50.6283,66.6521,"TCGA-76-4932-01"
"GBM(T=153,N=1157)",Tumor,26.9096,6.59,11.0201,70.1018,24.7995,13.7704,11.8103,1.8,15.2602,33.5597,7.1498,30.7999,34.5008,17.0703,367.0152,100.0991,21.3495,574.2748,2.2001,276.9909,82.1724,111.9094,72.3279,48.4314,"TCGA-28-2510-01"
"GBM(T=153,N=1157)",Tumor,39.0503,6.3699,23.4,94.0519,32.0901,7.9102,8.2399,1.22,10.5902,26.6903,5.8598,39.6202,27.8103,12.1896,275.9178,94.3392,12.77,776.2073,0.5,337.4888,261.8314,189.4394,30.6189,48.2906,"TCGA-06-0743-01"
"GBM(T=153,N=1157)",Tumor,20.1699,18.6296,19.4895,157.6948,21.8102,8.4798,20.2399,3.18,17.7103,39.7798,4.1599,40.0093,68.9022,19.8398,551.416,112.0336,20.5595,715.3959,2.1,744.7942,91.5307,121.128,62.7993,89.3678,"TCGA-14-1034-01"
"GBM(T=153,N=1157)",Tumor,22.9502,7.4498,7.9901,80.7607,29.6601,4.57,13.4701,1.96,11.24,20.7599,4.25,30.5109,36.5997,17.56,464.166,83.3195,11.6098,388.7224,2.78,782.4193,131.4882,80.0918,33.0793,49.5211,"TCGA-06-0184-01"
"GBM(T=153,N=1157)",Tumor,22.99,4.7001,6.02,97.9169,15.7995,2.18,6.0998,1.94,5.7499,13.6497,3.62,24.4208,25.5304,18.9697,761.024,134.7918,14.0705,320.0593,1.53,2737.2272,315.2157,46.1887,28.9391,43.6003,"TCGA-12-3652-01"
"GBM(T=153,N=1157)",Tumor,35.1502,11.2501,27.4198,171.0995,45.2413,7.0699,26.4198,4.4499,17.56,38.2202,6.03,42.2291,43.5399,19.0105,630.5634,137.968,26.4307,845.2875,3.7301,675.2593,55.1188,154.0752,59.7504,84.6878,"TCGA-26-5132-01"
"GBM(T=153,N=1157)",Tumor,42.4904,12.2804,20.8494,93.6875,33.751,8.76,23.3304,3.46,17.0999,43.0806,6.4499,40.4892,46.1599,20.7801,487.7497,135.72,24.9703,978.0731,3.61,615.194,121.886,163.4484,59.6097,53.2007,"TCGA-32-1970-01"
"GBM(T=153,N=1157)",Tumor,14.41,2.2001,9.4797,195.8076,17.4097,1.9201,5.0501,1.04,3.5001,9.7503,2.8501,15.5798,27.0105,13.09,475.3337,109.3407,7.6902,117.8892,0.14,416.7957,23.2803,31.4602,14.0802,18.1906,"TCGA-06-0219-01"
"GBM(T=153,N=1157)",Tumor,44.9599,10.4502,30.5299,112.0025,39.0693,5.8,13.9704,1.83,20.5395,29.6704,6.0501,50.8217,41.4289,17.01,441.7532,131.2059,17.73,812.0351,0.84,958.2103,25.7098,174.2231,48.0602,67.4889,"TCGA-14-0787-01"
"GBM(T=153,N=1157)",Tumor,39.5105,10.1799,8.9901,134.904,28.6299,6.0699,15.4604,3.41,16.5495,30.1493,6.4,40.5988,51.1184,23.3207,489.443,144.8574,15.4005,579.3123,2.7299,1659.9213,234.0047,112.5863,44.9101,47.1593,"TCGA-06-0190-01"
