SampleName,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,CODE,Group
GSM1854797,9.97469,7.551793,13.721208,12.627437,10.10485,10.384606,9.967083,11.218961,12.25389,12.919927,10.519133,8.663911,10.779266,11.857181,10.242733,12.38894,8.672276,LUAD,Tumor
GSM1854798,8.911627,7.823493,13.759647,12.76419,9.739121,10.191919,9.413224,11.194234,12.014625,12.830813,10.814444,7.593661,9.858746,11.741542,9.321986,11.659482,9.810732,LUAD,Tumor
GSM1854799,10.241558,7.808733,13.747455,12.739883,10.994368,10.423784,9.301787,10.894631,12.559729,12.956084,10.379931,6.945324,8.516917,11.666469,9.425878,10.90001,9.637636,LUAD,Tumor
GSM1854800,10.061034,7.979802,13.661489,12.285238,11.026731,10.558527,8.702023,10.807835,12.58112,13.094544,9.717081,6.512398,8.027431,11.29466,10.399974,10.510994,9.405385,LUAD,Tumor
GSM1854801,10.219859,7.051813,13.670904,12.8222,10.339418,10.179147,9.118283,10.930829,12.130782,13.211885,10.348523,8.084639,9.099745,11.496487,10.761448,11.303419,9.951803,LUAD,Tumor
GSM1854802,9.2746,7.267828,13.685651,12.393907,10.180868,9.649848,8.843921,11.144846,12.0477,13.113259,9.896239,7.247887,9.140074,12.124732,9.681563,11.024252,9.45702,LUAD,Tumor
GSM1854803,11.396508,7.004859,13.779119,12.785912,10.313555,10.830254,9.609549,11.296412,12.75999,13.219221,10.378073,8.900036,10.702166,11.841229,11.098383,11.353341,10.309083,LUAD,Tumor
GSM1854804,11.119455,6.211102,13.772673,12.792499,10.492144,10.980535,9.652987,11.340124,12.777726,13.049703,10.337454,7.130063,9.185426,11.636595,10.817414,11.178498,9.782345,LUAD,Tumor
GSM1854805,9.246407,6.540443,13.78375,12.357949,9.803051,9.6315,8.830242,10.167236,11.999925,13.214607,9.74009,6.642419,8.066796,11.860524,9.358627,10.20006,8.913115,LUAD,Tumor
GSM1854806,8.525331,6.314373,13.634304,12.768177,9.855446,10.095542,9.092427,10.199013,11.755852,13.361269,9.996216,8.139343,8.872792,11.944133,8.782886,11.398019,9.455462,LUAD,Tumor
GSM1854807,9.596086,7.685715,13.738595,12.658629,10.881238,10.485916,9.720791,10.761126,11.688624,13.252173,9.526686,10.329868,11.581653,11.740832,10.650228,12.775816,10.622052,LUAD,Tumor
GSM1854808,9.326187,7.261501,13.693988,12.810523,10.441106,10.761174,9.325223,10.745919,12.495039,13.209563,10.125415,9.262946,12.06492,11.610926,9.674431,12.018709,10.450708,LUAD,Tumor
GSM1854809,8.864863,8.556498,13.58349,12.259073,9.676962,9.76722,9.574908,10.796523,12.044738,13.064823,10.407319,8.801817,9.540619,11.972137,8.588466,12.024133,10.089818,LUAD,Tumor
