SampleName,class,CODE
GSM1854798,C1,LUAD
GSM1854800,C1,LUAD
GSM1854801,C1,LUAD
GSM1854802,C1,LUAD
GSM1854803,C1,LUAD
GSM1854805,C1,LUAD
GSM1854807,C1,LUAD
GSM1854810,C1,LUAD
GSM1854811,C1,LUAD
GSM1854812,C1,LUAD
GSM1854814,C1,LUAD
GSM1854815,C1,LUAD
GSM1854816,C1,LUAD
GSM1854817,C1,LUAD
GSM1854818,C1,LUAD
GSM1854821,C1,LUAD
GSM1854822,C1,LUAD
GSM1854823,C1,LUAD
GSM1854825,C1,LUAD
GSM1854828,C1,LUAD
GSM1854830,C1,LUAD
GSM1854831,C1,LUAD
GSM1854837,C1,LUAD
GSM1854841,C1,LUAD
GSM1854844,C1,LUAD
GSM1854846,C1,LUAD
GSM1854853,C1,LUAD
GSM1854855,C1,LUAD
GSM1854856,C1,LUAD
GSM1854857,C1,LUAD
GSM1854860,C1,LUAD
GSM1854863,C1,LUAD
GSM1854866,C1,LUAD
GSM1854867,C1,LUAD
GSM1854869,C1,LUAD
GSM1854870,C1,LUAD
GSM1854871,C1,LUAD
GSM1854872,C1,LUAD
GSM1854873,C1,LUAD
GSM1854876,C1,LUAD
GSM1854879,C1,LUAD
GSM1854880,C1,LUAD
GSM1854881,C1,LUAD
GSM1854883,C1,LUAD
GSM1854886,C1,LUAD
GSM1854887,C1,LUAD
GSM1854889,C1,LUAD
GSM1854891,C1,LUAD
GSM1854892,C1,LUAD
GSM1854898,C1,LUAD
GSM1854906,C1,LUAD
GSM1854907,C1,LUAD
GSM1854911,C1,LUAD
GSM1854916,C1,LUAD
GSM1854920,C1,LUAD
GSM1854921,C1,LUAD
GSM1854925,C1,LUAD
GSM1854932,C1,LUAD
GSM1854933,C1,LUAD
GSM1854935,C1,LUAD
GSM1854936,C1,LUAD
GSM1854938,C1,LUAD
GSM1854940,C1,LUAD
GSM1854941,C1,LUAD
GSM1854942,C1,LUAD
GSM1854948,C1,LUAD
GSM1854953,C1,LUAD
GSM1854955,C1,LUAD
GSM1854956,C1,LUAD
GSM1854957,C1,LUAD
GSM1854963,C1,LUAD
GSM1854964,C1,LUAD
GSM1854969,C1,LUAD
GSM1854970,C1,LUAD
GSM1854971,C1,LUAD
GSM1854973,C1,LUAD
GSM1854975,C1,LUAD
GSM1854977,C1,LUAD
GSM1854981,C1,LUAD
GSM1854983,C1,LUAD
GSM1854988,C1,LUAD
GSM1854992,C1,LUAD
GSM1854995,C1,LUAD
GSM1854996,C1,LUAD
GSM1854998,C1,LUAD
GSM1855001,C1,LUAD
GSM1855007,C1,LUAD
GSM1855008,C1,LUAD
GSM1855009,C1,LUAD
GSM1855012,C1,LUAD
GSM1855015,C1,LUAD
GSM1855016,C1,LUAD
GSM1855019,C1,LUAD
GSM1855020,C1,LUAD
GSM1855022,C1,LUAD
GSM1855023,C1,LUAD
GSM1855024,C1,LUAD
GSM1855027,C1,LUAD
GSM1855028,C1,LUAD
GSM1855029,C1,LUAD
GSM1855033,C1,LUAD
GSM1855034,C1,LUAD
GSM1855035,C1,LUAD
GSM1855037,C1,LUAD
GSM1855038,C1,LUAD
GSM1855040,C1,LUAD
GSM1855043,C1,LUAD
GSM1855044,C1,LUAD
GSM1855045,C1,LUAD
GSM1855046,C1,LUAD
GSM1855048,C1,LUAD
GSM1855051,C1,LUAD
GSM1855056,C1,LUAD
GSM1855057,C1,LUAD
GSM1855059,C1,LUAD
GSM1855063,C1,LUAD
GSM1855065,C1,LUAD
GSM1855066,C1,LUAD
GSM1855067,C1,LUAD
GSM1855069,C1,LUAD
GSM1855074,C1,LUAD
GSM1855075,C1,LUAD
GSM1855077,C1,LUAD
GSM1855078,C1,LUAD
GSM1855081,C1,LUAD
GSM1855083,C1,LUAD
GSM1855084,C1,LUAD
GSM1855085,C1,LUAD
GSM1855086,C1,LUAD
GSM1855088,C1,LUAD
GSM1855094,C1,LUAD
GSM1855096,C1,LUAD
GSM1855100,C1,LUAD
GSM1855101,C1,LUAD
GSM1855103,C1,LUAD
GSM1855104,C1,LUAD
GSM1855108,C1,LUAD
GSM1855111,C1,LUAD
GSM1855114,C1,LUAD
GSM1855116,C1,LUAD
GSM1855117,C1,LUAD
GSM1855118,C1,LUAD
GSM1855119,C1,LUAD
GSM1855120,C1,LUAD
GSM1855122,C1,LUAD
GSM1855123,C1,LUAD
GSM1855124,C1,LUAD
GSM1855126,C1,LUAD
GSM1855131,C1,LUAD
GSM1855135,C1,LUAD
GSM1855137,C1,LUAD
GSM1855144,C1,LUAD
GSM1855150,C1,LUAD
GSM1855151,C1,LUAD
GSM1855153,C1,LUAD
GSM1855158,C1,LUAD
GSM1855160,C1,LUAD
GSM1855163,C1,LUAD
GSM1855164,C1,LUAD
GSM1855166,C1,LUAD
GSM1855170,C1,LUAD
GSM1855171,C1,LUAD
GSM1855173,C1,LUAD
GSM1855174,C1,LUAD
GSM1855178,C1,LUAD
GSM1855179,C1,LUAD
GSM1855181,C1,LUAD
GSM1855182,C1,LUAD
GSM1855187,C1,LUAD
GSM1855189,C1,LUAD
GSM1855198,C1,LUAD
GSM1855199,C1,LUAD
GSM1855200,C1,LUAD
GSM1855202,C1,LUAD
GSM1855203,C1,LUAD
GSM1855204,C1,LUAD
GSM1855206,C1,LUAD
GSM1855209,C1,LUAD
GSM1855210,C1,LUAD
GSM1855211,C1,LUAD
GSM1855213,C1,LUAD
GSM1855219,C1,LUAD
GSM1855220,C1,LUAD
GSM1855223,C1,LUAD
GSM1855230,C1,LUAD
GSM1855231,C1,LUAD
GSM1855235,C1,LUAD
GSM1855237,C1,LUAD
GSM1855238,C1,LUAD
GSM1854799,C2,LUAD
GSM1854804,C2,LUAD
GSM1854806,C2,LUAD
GSM1854808,C2,LUAD
GSM1854809,C2,LUAD
GSM1854813,C2,LUAD
GSM1854819,C2,LUAD
GSM1854820,C2,LUAD
GSM1854826,C2,LUAD
GSM1854827,C2,LUAD
GSM1854829,C2,LUAD
GSM1854832,C2,LUAD
GSM1854833,C2,LUAD
GSM1854834,C2,LUAD
GSM1854835,C2,LUAD
GSM1854836,C2,LUAD
GSM1854838,C2,LUAD
GSM1854839,C2,LUAD
GSM1854840,C2,LUAD
GSM1854842,C2,LUAD
GSM1854843,C2,LUAD
GSM1854847,C2,LUAD
GSM1854848,C2,LUAD
GSM1854849,C2,LUAD
GSM1854850,C2,LUAD
GSM1854851,C2,LUAD
GSM1854852,C2,LUAD
GSM1854854,C2,LUAD
GSM1854859,C2,LUAD
GSM1854861,C2,LUAD
GSM1854862,C2,LUAD
