CODE,Group,DMPss,DNAss,ENHss,EREG.EXPss,EREG-METHss,RNAss,SampleName
ACC,Tumor,0.0690468,0.135447304,0.214571799,0.481190772,0.178831234,0.391898964,TCGA-OR-A5K3-01
ACC,Tumor,0.389334018,0.519673891,0.648323128,0.469193028,0.585866551,0.275244666,TCGA-OR-A5J2-01
ACC,Tumor,0.039835137,0.110762422,0.172742016,0.40497017,0.163502886,0.316240318,TCGA-OR-A5LN-01
ACC,Tumor,0.022614613,0.052079585,0.076812682,0.534849021,0.086426919,0.380699754,TCGA-OR-A5KY-01
ACC,Tumor,0.11795483,0.239677021,0.283868077,0.536088176,0.325990535,0.342444568,TCGA-OR-A5LG-01
ACC,Tumor,0.053597352,0.10802281,0.128893574,0.486689235,0.16720953,0.34780462,TCGA-OR-A5JC-01
ACC,Tumor,0.111275664,0.173827764,0.23495992,0.518376287,0.227846102,0.382042845,TCGA-OR-A5JV-01
ACC,Tumor,0.021092008,0.023470828,0.019108233,0.584734384,0.05168474,0.370745015,TCGA-OU-A5PI-01
ACC,Tumor,0.02603196,0.08017983,0.118963477,0.606064987,0.133081903,0.335600674,TCGA-OR-A5KO-01
ACC,Tumor,0.041313298,0.086187755,0.117015984,0.611781683,0.127952218,0.32270271,TCGA-OR-A5JP-01
ACC,Tumor,0.051338705,0.125774991,0.152435455,0.315302206,0.194219649,0.317699959,TCGA-OR-A5L9-01
ACC,Tumor,0.058316813,0.171394091,0.219979308,0.557686937,0.253671277,0.195748233,TCGA-OR-A5JO-01
ACC,Tumor,0.04659431,0.129701879,0.178573253,0.459837615,0.196526622,0.264436232,TCGA-OR-A5JX-01
ACC,Tumor,0.127649983,0.199141446,0.262520787,0.44759709,0.257315798,0.292827479,TCGA-PA-A5YG-01
ACC,Tumor,0.03148021,0.044658887,0.061206313,0.55886053,0.070291051,0.326721828,TCGA-OR-A5LD-01
ACC,Tumor,0.096237773,0.181402958,0.251893572,0.593451064,0.239147865,0.33472955,TCGA-OR-A5LL-01
ACC,Tumor,0.029248118,0.073355573,0.100672771,0.423412129,0.115804782,0.341791607,TCGA-OR-A5K8-01
ACC,Tumor,0.146935948,0.249514201,0.321333142,0.58023804,0.305164228,0.381667666,TCGA-OR-A5KW-01
ACC,Tumor,0.023665549,0.017838101,0.074695043,0.488194946,0.018373873,0.307213759,TCGA-OR-A5J9-01
ACC,Tumor,0.022347564,0.073248109,0.091380639,0.556725004,0.125802812,0.325448389,TCGA-OR-A5L8-01
ACC,Tumor,0.099601319,0.200802425,0.304819534,0.596704243,0.250168359,0.337852486,TCGA-OR-A5J6-01
ACC,Tumor,0.031868412,0.076499798,0.132611219,0.699780728,0.111243948,0.396641518,TCGA-OR-A5JJ-01
ACC,Tumor,0.060216827,0.146087414,0.153330235,0.600794407,0.228996253,0.364942008,TCGA-OR-A5LJ-01
ACC,Tumor,0.108962571,0.169499243,0.218864342,0.605954026,0.22477188,0.397797295,TCGA-OR-A5JM-01
