CODE,Group,hsa-mir-106b,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-130b,hsa-mir-146a,hsa-mir-150,hsa-mir-155,hsa-mir-221,hsa-mir-3185,hsa-mir-4256,hsa-mir-4746,hsa-mir-511,hsa-mir-548f-1,hsa-mir-5682,hsa-mir-6127,hsa-mir-6863,hsa-mir-7-3,SampleName
LUAD,Tumor,9.154662781,5.686561623,4.818841973,4.989809641,8.147187495,8.363101749,7.992624279,7.799191845,0,0,2.615681834,4.858624045,0,0,0,0,0,TCGA-78-7158-01
LUAD,Tumor,8.630238467,5.679428696,5.35074457,4.601406998,7.693457406,10.20853432,9.628416846,8.226140965,0,0,0.521099999,4.871754611,0,0,0,0,0.283951396,TCGA-MP-A4T4-01
LUAD,Tumor,8.30345031,4.926454175,4.672877146,5.142053209,6.875447581,9.271436342,10.72716709,8.841365121,0,0,0.689478088,6.733142029,1.154064025,0,0,0,0,TCGA-05-4250-01
LUAD,Tumor,8.920667984,5.41294282,4.986787625,3.665501583,7.697919669,10.40020887,8.39239214,9.032417916,0,0,0.841950583,4.23500806,0,0,0,0,1.255092793,TCGA-55-7227-01
LUAD,Tumor,11.15302742,9.010432198,8.501777709,9.255351135,6.278269726,8.764610781,7.32014782,6.701582934,0,0,5.270946068,4.742578162,0,0,0,0,2.372678573,TCGA-78-7155-01
LUAD,Tumor,8.716328069,5.255523204,5.00901114,3.744182413,7.61914248,9.521623491,7.953055368,9.23028371,0,0,1.137515983,3.406013319,0,0,0,0,1.137515983,TCGA-78-7163-01
LUAD,Tumor,9.972601692,7.652760739,7.256214558,6.533476961,9.187472015,8.667350381,8.882335139,8.367219283,0,0,4.024355941,6.320258039,0,0,0,0,2.794783902,TCGA-05-4397-01
LUAD,Tumor,9.293128824,6.416720002,6.199499663,5.875048088,7.897776386,7.93096763,7.656943196,8.046525498,0,0,2.818635858,4.297883099,0,0,0,0,0.589359859,TCGA-71-8520-01
LUAD,Tumor,10.22523565,7.131009909,6.932601514,5.128181449,6.508581962,9.986507866,8.591551148,6.090174658,0,0,3.591146924,3.817432318,0,0,0,0,1.607192519,TCGA-73-A9RS-01
LUAD,Tumor,9.926121862,6.31923586,6.29417122,6.076240542,3.860350838,7.230939326,6.60394357,7.77167096,0,0,1.719041464,3.059175795,0,0,0,0,0.755018301,TCGA-78-7535-01
LUAD,Tumor,8.771009008,6.494288473,6.059650069,4.587731559,8.71380971,11.52822458,9.816695463,8.88026154,0,0,1.272090095,6.274560738,0,0,0,0,0.265627722,TCGA-55-8619-01
LUAD,Tumor,9.025360422,5.712378314,5.827840487,4.896951422,6.522768585,9.417254206,8.747297383,7.673463497,0,0,0.994867872,4.326511031,0.261326206,0,0,0,0.843435596,TCGA-95-7567-01
LUAD,Tumor,9.754488213,6.563505077,6.101555997,6.541375584,6.886774033,8.73254649,8.033158006,8.266896074,0,0,2.505671715,3.686815365,0,1.056445495,0,0,1.65974284,TCGA-44-7670-01
LUAD,Tumor,8.242973625,4.914870155,4.709464896,3.823083896,7.464098329,9.815631252,9.254165871,8.429222153,0,0,0.652500262,4.270564822,0,0,0,0,0,TCGA-44-6777-11A
LUAD,Tumor,9.107115955,5.468567548,5.028929162,3.964106274,8.613228234,10.6454793,9.326604382,7.827409221,0,0,1.391207907,4.864517295,0,0,0,0,0,TCGA-J2-A4AE-01
LUAD,Tumor,10.22314425,6.49756295,4.041384756,5.40059425,5.893014335,13.42595628,7.461700488,8.178373743,0,0,2.621807141,7.25000822,0,0,0,0,0,TCGA-44-3396-11A
LUAD,Tumor,8.284422514,5.034970898,4.6220957,3.096008279,7.697263871,8.181066503,6.695748932,7.241070277,0,0,0.686084523,2.218305666,0,0,0,0,0.314480758,TCGA-NJ-A7XG-01
LUAD,Tumor,9.132900994,6.431284492,5.920708492,6.95786616,5.610318553,8.894566904,7.075825355,8.92407685,0,0,0.812735609,3.669747026,0,0,0,0,0.249912511,TCGA-44-8117-01
LUAD,Tumor,8.849546536,7.038787089,6.736078461,5.123299021,6.184795363,7.659017695,7.580077774,8.085429012,0,0,2.568648707,4.276861685,0,0,0,0,1.229733723,TCGA-50-6594-01
LUAD,Tumor,7.891273865,5.788532299,5.386468611,4.330588874,7.818038797,10.5634881,9.315945728,7.770797629,0,0,1.374827496,5.466631231,0.136960444,0,0,0,0.483717252,TCGA-50-5045-01
LUAD,Tumor,9.130354111,6.216018887,5.598230423,5.473994828,6.748603268,8.226718989,7.559862466,8.249965276,0,0,1.625470161,3.737554707,0.231169406,0,0,0,0.605358734,TCGA-J2-A4AD-01
LUAD,Tumor,8.427005141,5.636716428,5.323392444,4.456058724,10.25583799,10.53506328,9.348996729,7.577890809,0,0,0.251497332,3.342159173,0,0,0,0,0.465592132,TCGA-S2-AA1A-01
LUAD,Tumor,9.657937179,6.1306499,5.605380752,5.451684963,6.316810464,8.817499338,8.061973804,6.86326898,0,0,2.654948963,4.029192594,0.250019271,0.250019271,0,0,1.623610318,TCGA-44-6144-01
LUAD,Tumor,8.914409309,6.36395152,6.199661588,5.573883846,5.907363097,8.217603883,6.935926639,7.107085749,0.165352434,0,1.615639465,3.421582699,0.165352434,0,0,0,0.31368585,TCGA-05-5715-01
LUAD,Tumor,8.457329409,6.235700449,5.710543378,4.67071482,8.945538943,10.32331801,8.673990916,7.612526013,0,0,1.426302868,3.899413772,0,0,0,0,0.276134532,TCGA-50-8460-01
LUAD,Tumor,7.990920103,5.5781583,5.085138698,3.532943404,7.640137088,8.084684061,8.398175671,6.363632746,0,0,0.85874731,3.254195826,0,0,0,0,0,TCGA-05-4249-01
LUAD,Tumor,8.658069306,4.740615572,4.16566469,4.521568092,8.996227841,9.433439869,7.997279359,7.652664067,0,0,1.36129674,3.243891743,0,0,0,0,0.957168735,TCGA-67-4679-01B
LUAD,Tumor,9.176164084,5.809337239,5.623066827,2.658952466,6.520588856,8.985924911,8.18342681,8.279109109,0,0,0.669605542,4.38777851,0,0,0,0,0.797675428,TCGA-49-6742-11A
LUAD,Tumor,9.171560008,4.281451079,3.854892812,6.374781966,3.993947569,6.487352682,4.94794817,5.707103511,0,0,0.370503567,2.837719052,0,0,0,0,0.665036147,TCGA-55-A494-01
LUAD,Tumor,8.980172945,6.550602678,6.165369761,4.020792063,8.467752836,11.78934921,10.24836479,9.323395599,0,0,1.465480338,3.583014389,0,0,0,0.142244814,0.602270628,TCGA-64-5778-01
LUAD,Tumor,9.647542046,6.732887667,6.280230498,5.626766656,6.728336354,7.908142558,8.684420785,8.280301178,0,0,2.508519927,5.561740035,0,0,0,0,0.416867839,TCGA-95-8494-01
LUAD,Tumor,8.933490499,5.947175085,5.631080878,4.556088843,7.683846828,6.718159676,8.101489336,8.749625127,0,0,0.79186657,3.992658684,0,0,0,0,0.524854032,TCGA-55-7726-01
LUAD,Tumor,9.69615209,6.986595914,6.539007522,5.400921504,7.890991139,12.02485162,10.00526407,8.456243361,0,0,1.7970437,5.38676681,0.867916227,0,0,0,0.498263124,TCGA-78-8660-01
LUAD,Tumor,9.616587414,6.20825188,5.939725839,4.79271805,8.273571575,9.715951457,7.946415897,9.046946832,0,0,0.617624792,2.399110376,0.180895119,0,0,0,0.486209792,TCGA-49-4490-01
LUAD,Tumor,9.417576276,7.004847328,6.702444988,4.814721137,6.003241473,9.184546279,6.414257044,7.533632849,0,0,1.099549042,3.215035375,0,0,0,0,0.652086271,TCGA-J2-8194-01
LUAD,Tumor,9.340797707,4.835420559,4.415119708,4.900236037,8.219879042,9.797364183,9.981806899,8.241928219,0,0,0.727661726,4.992306187,0,0,0,0,1.569423039,TCGA-44-2659-01
LUAD,Tumor,8.604820339,6.433277416,6.155102672,4.342566976,5.013197593,7.266108586,5.884142037,7.543800931,0,0,0.478853797,3.84635591,0,0,0,0,0.669438646,TCGA-78-7633-01
LUAD,Tumor,9.089011398,6.64575082,6.300681068,4.940094379,7.594870463,11.86262109,9.797508556,7.699504,0,0,0.863358085,5.355414847,0.268814032,0,0,0,0.495320627,TCGA-55-8299-01
LUAD,Tumor,8.336581797,6.035078662,5.671135081,4.566370955,7.440522306,10.62254952,9.703780489,8.525520676,0,0,0.542901856,5.631794288,0.542901856,0,0,0,0.816804475,TCGA-67-6217-01
LUAD,Tumor,9.620974335,6.643836511,6.627652914,6.037770959,7.353860126,9.136075915,9.78455048,9.581085228,0,0,1.418576414,6.770846564,0.35486849,0,0,0,0.639453529,TCGA-50-5044-01
LUAD,Tumor,9.561883603,5.839776267,5.486321568,5.041065438,7.173799292,10.02019955,7.914332728,7.95684476,0,0,1.177936284,3.729505786,0,0,0,0,0.927370087,TCGA-MP-A4T6-01
