CODE,Group,purity,TMB,HRD,LOH,MATH,MSI,NEO,ploidy,SampleName
ACC,Tumor,0.89,0.5,9,0.736671382,101.0915676,0.3236,0,1.3,TCGA-OR-A5J2-01
ACC,Tumor,0.74,0.6,10,0.658606499,61.62256611,0.3164,2,2.46,TCGA-OR-A5KY-01
ACC,Tumor,0.92,0.32,31,0.205827571,16.71061038,0.2858,0,1.83,TCGA-OR-A5LG-01
ACC,Tumor,0.89,0.4,8,0.511925142,44.67997212,0.3042,6,1.54,TCGA-OU-A5PI-01
ACC,Tumor,0.8,1.16,22,0.168781734,62.63324402,0.2717,35,3.12,TCGA-OR-A5JP-01
ACC,Tumor,0.82,0.12,2,0.781298573,111.950033,0.3164,0,1.22,TCGA-OR-A5L9-01
ACC,Tumor,0.89,0.6,9,0.225565756,50.00088608,0.2803,0,3.12,TCGA-OR-A5JX-01
ACC,Tumor,0.94,0.82,11,0.023879389,33.93506667,0.2901,0,3.26,TCGA-OR-A5LD-01
ACC,Tumor,0.77,0.86,19,0.097997786,65.1063165,0.2918,1,3.73,TCGA-OR-A5LL-01
ACC,Tumor,0.95,0.32,5,0.576307627,92.86356341,0.3147,8,1.54,TCGA-OR-A5K8-01
ACC,Tumor,0.95,0.36,10,0.609266129,114.2969575,0.3219,0,1.4,TCGA-OR-A5KW-01
ACC,Tumor,0.84,0.58,18,0.413087971,50.58282353,0.3173,1,2.61,TCGA-OR-A5J9-01
ACC,Tumor,0.9,0.34,14,0.625376011,46.36446237,0.3122,2,1.46,TCGA-OR-A5JJ-01
ACC,Tumor,0.93,6.72,13,0.610573923,101.3984722,0.5156,119,1.4,TCGA-OR-A5LJ-01
ACC,Tumor,0.97,0.98,25,0.101223704,46.47967963,0.2903,11,3.05,TCGA-OR-A5JM-01
ACC,Tumor,0.89,16.96,12,0.332530413,18.71620408,0.4705,287,1.67,TCGA-PK-A5HB-01
ACC,Tumor,0.87,1.14,4,0.595371342,80.17022222,0.2854,0,1.43,TCGA-OR-A5JF-01
ACC,Tumor,0.94,2.08,12,0.236755117,45.42817769,0.2939,12,2.83,TCGA-OR-A5K9-01
ACC,Tumor,0.95,0.46,5,0.567335515,84.92918519,0.3314,0,2.37,TCGA-OR-A5KZ-01
ACC,Tumor,0.84,0.94,21,0.278811316,40.71710692,0.294,22,2.6,TCGA-OR-A5J7-01
ACC,Tumor,0.89,0.22,2,0.722512398,45.61846154,0.3211,1,1.28,TCGA-OR-A5K1-01
ACC,Tumor,0.92,0.34,8,0.592986973,74.66203349,0.3294,0,2.83,TCGA-OR-A5LT-01
ACC,Tumor,0.8,0.64,13,0.779755718,52.67704461,0.332,6,4,TCGA-OR-A5L6-01
ACC,Tumor,0.97,0.36,21,0.157792797,75.9487801,0.2826,6,1.89,TCGA-OR-A5LE-01
ACC,Tumor,0.75,7.38,31,0.531905166,68.89718157,0.307,1,5.52,TCGA-OR-A5JA-01
ACC,Tumor,0.93,5.98,8,0.57818371,79.8144132,0.5224,24,2.79,TCGA-OR-A5J5-01
ACC,Tumor,0.95,0.28,3,0.801234173,62.28418391,0.3351,0,1.21,TCGA-OR-A5JZ-01
ACC,Tumor,0.62,0.2,0,0.125600871,29.88611567,0.2816,1,2.98,TCGA-OR-A5JI-01
ACC,Tumor,0.83,0.96,14,0.381898802,79.67625654,0.3022,0,1.72,TCGA-PK-A5HA-01
ACC,Tumor,0.72,0.94,12,0.074373957,31.18070376,0.2921,1,3.32,TCGA-OR-A5JE-01
ACC,Tumor,0.82,0.32,5,0.517646919,75.96617398,0.2992,0,2.71,TCGA-OR-A5KU-01
ACC,Tumor,0.96,3.72,6,0.593542464,80.15160353,0.5276,52,1.44,TCGA-OR-A5LB-01
ACC,Tumor,0.88,2,21,0.074320624,30.53057778,0.2862,4,3.3,TCGA-OR-A5K5-01
ACC,Tumor,0.76,1.66,16,0.781621954,71.25597594,0.3203,0,1.23,TCGA-OR-A5J8-01
ACC,Tumor,0.52,0.18,5,0.78589951,35.44408163,0.3006,1,2.41,TCGA-OR-A5L5-01
ACC,Tumor,0.85,0.18,2,0.762635638,48.52274247,0.3172,17,1.24,TCGA-OR-A5LH-01
ACC,Tumor,0.82,0.22,2,0.592359292,87.26498737,0.3073,10,1.42,TCGA-OR-A5JL-01
ACC,Tumor,0.76,0.52,8,0.660537581,106.3681273,0.3206,0,5.68,TCGA-OR-A5JG-01
ACC,Tumor,0.87,1.22,23,0.621722696,60.95133333,0.3213,3,2.65,TCGA-OR-A5LO-01
ACC,Tumor,0.81,0.4,4,0.040370891,17.40276779,0.2855,1,1.96,TCGA-OR-A5L3-01
ACC,Tumor,0.92,0.66,9,0.238782221,35.14157083,0.293,0,3.3,TCGA-OR-A5LC-01
ACC,Tumor,0.92,0.64,15,0.040630294,109.3991498,0.2824,3,4.2,TCGA-OR-A5KX-01
ACC,Tumor,0.97,3.6,3,0.713530031,94.9790625,0.3259,1,1.29,TCGA-OR-A5K4-01
ACC,Tumor,0.9,0.5,7,0.036058665,27.09891254,0.275,35,2,TCGA-OR-A5J1-01
ACC,Tumor,0.88,0.44,9,0.655248283,61.33443842,0.3001,0,2.6,TCGA-OR-A5JT-01
ACC,Tumor,0.75,5.14,24,0.429634429,27.45555556,0.2905,9,1.78,TCGA-OR-A5JB-01
ACC,Tumor,0.84,1.14,53,0.181613092,62.82842458,0.2929,15,4.05,TCGA-OR-A5JY-01
ACC,Tumor,0.91,0.34,1,0.001851708,37.12626446,0.2864,6,2,TCGA-OR-A5KV-01
ACC,Tumor,0.91,0.5,12,0.122971542,83.65475054,0.2782,0,1.91,TCGA-OR-A5K6-01
ACC,Tumor,0.85,0.58,19,0.216835663,28.4091018,0.2867,2,3.42,TCGA-OR-A5JS-01
ACC,Tumor,0.57,0.68,9,0.545294447,74.54479157,0.2888,0,2.8,TCGA-OR-A5LK-01
ACC,Tumor,0.7,0.5,0,0.404038426,74.21808521,0.3003,4,3.12,TCGA-OR-A5JD-01
ACC,Tumor,0.81,0.32,1,0.661352587,82.22354192,0.3054,0,2.62,TCGA-OR-A5L4-01
ACC,Tumor,0.65,0.46,12,0.050569475,62.47745819,0.2777,1,2.02,TCGA-OR-A5KT-01
ACC,Tumor,1,0.88,34,0.198941612,25.4012885,0.2871,5,1.86,TCGA-OR-A5K0-01
BLCA,Tumor,0.75,28.4,38,0.064561056,60.42694386,0.2968,3,5.35,TCGA-MV-A51V-01
BLCA,Tumor,0.57,2.48,45,0.184745764,42.98412548,0.3293,11,2.95,TCGA-FD-A3SR-01
BLCA,Tumor,0.9,0.48,1,0.003312768,13.30346241,0.3166,7,2,TCGA-DK-A6B0-01
BLCA,Tumor,0.73,3.94,38,0.112514592,47.05222715,0.2888,15,3.08,TCGA-DK-A1AD-01
BLCA,Tumor,0.7,3.3,21,0.398726048,44.37294362,0.3299,1,3.28,TCGA-XF-AAMQ-01
BLCA,Tumor,0.61,2.3,23,0.413171436,53.3736,0.3404,6,2.67,TCGA-FT-A3EE-01
BLCA,Tumor,0.39,1.74,61,0.309086627,73.89466667,0.3218,18,5.59,TCGA-ZF-AA4T-01
BLCA,Tumor,0.71,1.54,23,0.255369398,25.92043042,0.3159,5,1.81,TCGA-E7-A3X6-01
BLCA,Tumor,0.31,1.74,44,0.331379125,35.27027368,0.3248,6,3.55,TCGA-GU-A762-01
BLCA,Tumor,0.37,6.4,7,0.141309051,34.95655551,0.3143,32,2.01,TCGA-XF-A8HE-01
BLCA,Tumor,0.22,2.76,42,0.191250214,39.8756247,0.3106,4,2.67,TCGA-BT-A42F-01
BLCA,Tumor,0.91,1.64,16,0.207943843,23.65851064,0.3417,10,1.82,TCGA-G2-A3IB-01
BLCA,Tumor,0.75,3.74,44,0.22446413,55.26054545,0.2424,1,3.15,TCGA-CU-A3KJ-01
BLCA,Tumor,0.9,5.44,15,0.08753588,28.56262533,0.2659,0,3.41,TCGA-DK-A3IS-01
BLCA,Tumor,0.78,9.7,30,0.160199316,56.05103797,0.3324,14,3.4,TCGA-E5-A4U1-01
BLCA,Tumor,0.69,2.76,30,0.182145773,75.72757982,0.3266,15,3.7,TCGA-XF-A8HF-01
BLCA,Tumor,0.77,5.14,35,0.325376001,52.50199716,0.3389,10,2.69,TCGA-KQ-A41P-01
BLCA,Tumor,0.33,2.4,5,0.135072826,47.31599342,0.3343,5,2.07,TCGA-BL-A13I-01
BLCA,Tumor,0.35,9.44,28,0.21942162,36.46577445,0.4141,148,1.96,TCGA-ZF-AA4W-01
BLCA,Tumor,0.18,2.88,25,0.274700906,47.48115132,0.3199,1,1.91,TCGA-UY-A9PA-01
BLCA,Tumor,0.79,3.78,22,0.222114857,49.94265858,0.3096,25,3.44,TCGA-E5-A2PC-01
BLCA,Tumor,0.48,3.58,39,0.136761617,53.80864865,0.3299,2,3.43,TCGA-UY-A9PE-01
BLCA,Tumor,0.63,1.12,25,0.203925872,55.71448718,0.3499,0,3.93,TCGA-XF-A9SV-01
BLCA,Tumor,0.28,1.82,37,0.277486622,57.34834225,0.3257,1,3.22,TCGA-ZF-AA56-01
BLCA,Tumor,0.44,1.84,17,0.15674113,28.63666868,0.3316,0,1.97,TCGA-DK-AA6X-01
BLCA,Tumor,0.82,3.14,20,0.086784153,53.91272727,0.3215,25,3.76,TCGA-ZF-A9R9-01
BLCA,Tumor,0.68,8.8,28,0.280918608,35.52007526,0.3274,6,1.78,TCGA-DK-AA6S-01
BLCA,Tumor,0.41,3.86,23,0.108764749,74.39475,0.3092,2,5.01,TCGA-KQ-A41S-01
BLCA,Tumor,0.68,2.44,36,0.133869812,66.82989263,0.3537,19,4.75,TCGA-YF-AA3M-01
BLCA,Tumor,0.68,0.7,11,0.150152998,20.3179841,0.3211,0,1.87,TCGA-CF-A7I0-01
BLCA,Tumor,0.44,11.78,20,0.116327509,39.11153374,0.3155,11,2.09,TCGA-XF-A9T8-01
BLCA,Tumor,0.47,2.48,54,0.218776023,56.1156657,0.2754,20,3.3,TCGA-CU-A0YR-01
BLCA,Tumor,0.48,3.86,59,0.584243868,56.75645821,0.3571,4,3.82,TCGA-GC-A3YS-01
BLCA,Tumor,0.77,2.66,6,0.253672305,46.65137255,0.3301,77,1.83,TCGA-ZF-AA4N-01
BLCA,Tumor,0.75,16.2,71,0.214513396,61.57489588,0.3446,11,4.16,TCGA-XF-AAMG-01
BLCA,Tumor,0.69,5.98,41,0.145117613,47.45791563,0.3332,24,3.14,TCGA-GC-A3RC-01
BLCA,Tumor,0.87,1.32,22,0.209551431,58.38914701,0.3352,3,3.27,TCGA-CF-A8HY-01
BLCA,Tumor,0.85,5.74,16,0.07587423,47.69202797,0.3199,1,3.74,TCGA-ZF-A9RL-01
BLCA,Tumor,0.76,13.6,34,0.196093254,37.065,0.3307,15,3.88,TCGA-XF-A9T0-01
BLCA,Tumor,0.69,2.4,34,0.33222229,70.29249046,0.3309,7,1.99,TCGA-UY-A78M-01
BLCA,Tumor,0.85,11.32,61,0.202953293,53.46042871,0.2993,13,5.25,TCGA-GC-A4ZW-01
BLCA,Tumor,0.32,2.6,45,0.264213612,57.60282917,0.303,6,2.9,TCGA-K4-A4AC-01
BLCA,Tumor,0.55,7.24,16,0.285819507,26.14219981,0.298,17,2.01,TCGA-G2-A2ES-01
BLCA,Tumor,0.81,0.88,8,0.029834488,10.17623363,0.3077,8,1.99,TCGA-FJ-A871-01
BLCA,Tumor,0.24,5.88,11,0.073910961,38.43777778,0.3359,9,2.43,TCGA-GD-A3OP-01
BLCA,Tumor,0.42,3.86,44,0.25746711,39.050625,0.3359,1,3.69,TCGA-FD-A3SL-01
BLCA,Tumor,0.41,6.94,37,0.215423338,49.42,0.3388,17,3.09,TCGA-XF-A9T3-01
BLCA,Tumor,0.64,10.96,37,0.212572788,45.96789056,0.3277,43,2.63,TCGA-ZF-AA4V-01
