SampleName,RNAss,ENHss,EREG-METHss,EREG.EXPss,DMPss
TCGA-44-6778-01,0.355670533,0.336345978,0.352337492,0.608705689,0.178045726
TCGA-64-1679-01,0.253946068,0.302149949,0.295098068,0.607210497,0.156426882
TCGA-49-6744-01,0.27435847,0.2291324,0.260059618,0.615905507,0.100831548
TCGA-55-6982-01,0.29899796,0.22572951,0.24373975,0.739109548,0.093133404
TCGA-NJ-A4YI-01,0.322041343,0.250007099,0.276511008,0.498622145,0.1309502
TCGA-MN-A4N1-01,0.32000233,0.236105317,0.273702535,0.479891635,0.093301082
TCGA-55-7911-01,0.402629301,0.223969886,0.234129334,0.512699889,0.095398889
TCGA-55-A4DG-01,0.271081326,0.27029741,0.283334635,0.48555733,0.131434261
TCGA-L9-A5IP-01,0.369517278,0.322327274,0.351821207,0.628238491,0.17270829
TCGA-55-6712-01,0.32502042,0.273640333,0.281819137,0.416511479,0.122440289
TCGA-97-7553-01,0.25574405,0.234569604,0.266634658,0.62989275,0.090668878
TCGA-49-AARE-01,0.36240267,0.226749176,0.275994149,0.475261376,0.154036102
TCGA-50-8460-01,0.266624352,0.203806072,0.231905761,0.553150387,0.104371115
TCGA-50-5933-01,0.33019404,0.288602125,0.273364904,0.630687424,0.126505952
TCGA-44-6774-01,0.176482176,0.260643816,0.279117185,0.650303595,0.125702155
TCGA-55-A48Z-01,0.265952319,0.202933455,0.241864019,0.497206877,0.087228674
TCGA-75-7031-01,0.415636328,0.344580337,0.335577803,0.81305067,0.15775923
TCGA-44-A47A-01,0.367842082,0.18142992,0.221037067,0.620366955,0.082260204
TCGA-64-5781-01,0.335352232,0.226044864,0.253373204,0.551733005,0.112460078
TCGA-97-7552-01,0.252082939,0.221150402,0.259999527,0.595680553,0.093488946
TCGA-49-AARN-01,0.279381984,0.230471535,0.235796932,0.500919223,0.133903024
TCGA-99-8032-01,0.26645709,0.27936398,0.302189838,0.557157737,0.112242523
TCGA-55-8299-01,0.244465997,0.225738561,0.238900889,0.531581294,0.103659521
TCGA-55-A491-01,0.314742692,0.207488561,0.271011952,0.475816042,0.098455478
TCGA-50-6595-01,0.320522886,0.248341814,0.237505949,0.619339662,0.100896258
TCGA-95-A4VP-01,0.248601431,0.28121378,0.305522913,0.54561823,0.135728305
TCGA-55-8302-01,0.342984592,0.18350691,0.23232986,0.467782238,0.103364046
TCGA-44-4112-01,0.277799143,0.252899881,0.2733336,0.376432426,0.125987792
TCGA-75-7027-01,0.338381143,0.262811643,0.333810619,0.572279781,0.113350999
TCGA-44-2668-01,0.321665864,0.220486012,0.258232048,0.579186411,0.108494346
TCGA-55-8507-01,0.363342029,0.30761082,0.356425167,0.612432813,0.109253836
TCGA-69-8254-01,0.257944784,0.216681817,0.224600859,0.576307143,0.113300487
TCGA-78-8640-01,0.499646699,0.186739703,0.270758921,0.563681115,0.115744274
TCGA-69-7979-01,0.336752727,0.319662683,0.313109852,0.62554955,0.132876412
TCGA-55-7573-01,0.233428812,0.170642018,0.211976654,0.538428852,0.069497533
TCGA-44-8119-01,0.274797231,0.42499056,0.474270034,0.551130107,0.210356799
TCGA-55-7724-01,0.341744022,0.274754307,0.288972598,0.829281479,0.129207257
TCGA-44-6776-01,0.330486853,0.212922088,0.253783151,0.805358274,0.064023164
TCGA-49-4514-01,0.486383815,0.262471715,0.297233586,0.731576714,0.143304722
TCGA-05-4396-01,0.285216086,0.285171925,0.267333157,0.521211385,0.112870243
TCGA-55-8204-01,0.331190577,0.314690304,0.325201381,0.714043458,0.143613139
TCGA-L4-A4E6-01,0.170242712,0.241744269,0.238891666,0.517713093,0.105795665
TCGA-75-6205-01,0.318260866,0.23510387,0.247390103,0.578211006,0.131353705
TCGA-62-A46O-01,0.459868486,0.271585482,0.332669382,0.535994534,0.134294048
TCGA-78-7155-01,0.599429015,0.282600317,0.314294513,0.593574152,0.158184522
TCGA-62-A472-01,0.378867558,0.192437656,0.231095121,0.477775205,0.091019982
TCGA-NJ-A55R-01,0.309778134,0.315058999,0.287909414,0.534247536,0.168332327
TCGA-62-8395-01,0.233795866,0.215855588,0.192481586,0.589112704,0.092790575
TCGA-95-7567-01,0.389246646,0.19457046,0.269548112,0.510205365,0.09355537
TCGA-50-5051-01,0.353645845,0.346200392,0.312208414,0.42597875,0.144019542
TCGA-55-A48Y-01,0.353159188,0.251518249,0.282081405,0.625225149,0.120727153
TCGA-86-A456-01,0.267978168,0.222617012,0.238085546,0.482952802,0.101212728
TCGA-50-5068-01,0.34953021,0.237413229,0.266413821,0.747866242,0.104192275
TCGA-NJ-A55A-01,0.186748524,0.272280098,0.271988976,0.520364414,0.130400461
TCGA-J2-A4AG-01,0.252662787,0.247070602,0.267053271,0.45850961,0.121780101
TCGA-05-4405-01,0.249852995,0.197105077,0.241859254,0.519886457,0.107583831
TCGA-50-5944-01,0.21894788,0.291564628,0.287380305,0.656861023,0.08229358
TCGA-86-7955-01,0.462865225,0.283619351,0.303018591,0.52708652,0.136275966
TCGA-50-6673-01,0.286304983,0.268125977,0.300689394,0.661952753,0.139623852
TCGA-55-7727-01,0.412018922,0.267194466,0.257316066,0.503773968,0.115542572
TCGA-55-8510-01,0.260083706,0.265504849,0.280436661,0.4726778,0.09962646
TCGA-MP-A4T8-01,0.322875644,0.272991605,0.318461154,0.623861425,0.097310752
TCGA-86-8279-01,0.307544541,0.383391407,0.413953006,0.578670504,0.171683243
TCGA-55-A494-01,0.351759068,0.281410072,0.2958117,0.516715203,0.0958478
TCGA-75-5125-01,0.395178375,0.279014153,0.294930142,0.316178597,0.156219891
TCGA-55-8615-01,0.300283678,0.344109411,0.340206652,0.476043568,0.122643881
TCGA-MP-A4TF-01,0.34838957,0.23505901,0.244772771,0.509694479,0.130418596
TCGA-55-6979-01,0.295815671,0.234963496,0.24725143,0.49689185,0.096630102
TCGA-86-A4JF-01,0.405396304,0.263774751,0.260025037,0.598166996,0.121989357
