SampleName,Bortezomib,Dactinomycin.1,Docetaxel,Sepantronium.bromide,Daporinad,Vinblastine,Staurosporine,Vinorelbine,Dinaciclib,Eg5
TCGA-05-4420-01,0.008849005,0.009785373,0.011254596,0.009713428,0.012919889,0.026010579,0.054267574,0.056068232,0.064036868,0.049392491
TCGA-91-6840-01,0.007041541,0.008002903,0.010165337,0.008974503,0.010101736,0.02689453,0.034912378,0.049786218,0.059444368,0.058838628
TCGA-44-6778-01,0.007274162,0.008034777,0.013069441,0.028185219,0.01925814,0.033541594,0.048755445,0.038655109,0.054793107,0.07104431
TCGA-67-3774-01,0.007378264,0.007619806,0.011234374,0.012976567,0.015559697,0.024403133,0.052556489,0.051321229,0.059544833,0.046868473
TCGA-64-1679-01,0.008203606,0.009931044,0.011978432,0.009831312,0.021462742,0.038243827,0.048175854,0.06723042,0.06390681,0.075349677
TCGA-55-6982-01,0.006446401,0.006720025,0.009447026,0.010209604,0.011360045,0.021916719,0.034186209,0.041589696,0.056386102,0.05242977
TCGA-NJ-A4YI-01,0.008314017,0.008711948,0.010945732,0.029054809,0.009132504,0.022819668,0.053468417,0.045647364,0.059326956,0.048639962
TCGA-MN-A4N1-01,0.008229202,0.008418106,0.009874627,0.010853218,0.01006212,0.021591474,0.049190161,0.049715773,0.061952392,0.038708589
TCGA-55-A4DG-01,0.007630195,0.007816011,0.011055508,0.011056801,0.014763422,0.025749502,0.039156462,0.047006398,0.057677432,0.042892114
TCGA-L9-A5IP-01,0.012616507,0.014090695,0.019041562,0.022850712,0.214761091,0.089952969,0.094275676,0.078215675,0.064410206,0.04266136
TCGA-73-4662-01,0.009701264,0.011470334,0.01497639,0.029346076,0.014608026,0.037241906,0.054440578,0.067231118,0.061623251,0.058131218
TCGA-55-6712-01,0.004390142,0.003320161,0.006660737,0.010110052,0.005146538,0.00884775,0.022512977,0.016586705,0.044966596,0.024932076
TCGA-97-7553-01,0.007293258,0.007689617,0.011796071,0.038672519,0.011241849,0.024910016,0.049043512,0.037847036,0.055049822,0.06326746
TCGA-49-AARE-01,0.007563848,0.007297881,0.009552735,0.010101739,0.010853902,0.020417666,0.051476521,0.046845942,0.060876881,0.036629668
TCGA-35-4123-01,0.006073617,0.00560621,0.008028497,0.012397976,0.007801891,0.010784437,0.048104255,0.017604599,0.051114036,0.028274304
TCGA-73-4670-01,0.007582217,0.006660798,0.008400853,0.011880176,0.012286866,0.019006582,0.063996423,0.04144655,0.06173857,0.036053594
TCGA-69-8253-01,0.010855548,0.011112284,0.015635427,0.011006194,0.022441899,0.034056959,0.060424196,0.074348515,0.064195354,0.038859692
TCGA-MP-A4T9-01,0.010463323,0.014408163,0.01506498,0.012187565,0.02638423,0.060790398,0.060450908,0.1045182,0.070838713,0.111643466
TCGA-75-7031-01,0.007075541,0.006758199,0.008983812,0.009447877,0.008220955,0.017081732,0.051375222,0.037204288,0.059210926,0.034224031
TCGA-05-4398-01,0.006208893,0.005616149,0.007855017,0.012383945,0.00965006,0.014110296,0.04762094,0.025510832,0.054368064,0.033830474
TCGA-67-3773-01,0.008236,0.009460357,0.012150291,0.013228055,0.018257313,0.03330992,0.046400886,0.063048182,0.061782272,0.066548065
TCGA-64-5781-01,0.007213363,0.007644928,0.009180224,0.014580988,0.014896317,0.021454316,0.05382095,0.037639902,0.058606807,0.04032189
